time,average_usage
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45456E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
1.45457E+12,"{'cpus': 0.00020599365234375, 'memory': 0.0015354156494140625}"
